City,Country,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness
yerofey pavlovich,RU,52.57,122.21,4.75,40,3.6,8
tasiilaq,GL,59.8,-38.2,17.6,92,4.7,0
myitkyina,MM,25.9,96.96,66.4,90,3.04,0
qaanaaq,GL,84,-72.3,8.98,79,2.82,80
ipixuna,BR,-6.99,-71.62,77,88,5.82,0
soyo,AO,-7.8,8.23,74.14,98,1.36,92
carnarvon,ZA,-24.76,100.2,47.36,89,2.82,0
hambantota,LK,1.21,82.33,80.21,100,7.52,0
pathri,IN,19.06,76.43,77.51,53,3.04,8
saint-francois,FR,20.35,-52.9,35.6,80,3.36,0
pevek,RU,82.75,168.03,-3,87,14.45,88
swan hill,AU,-35.14,142.68,77.74,84,6.96,0
kimparana,ML,13.04,-4.57,70.45,33,5.61,0
gizo,IL,-12.17,156.6,51.8,87,1.12,0
parvatipuram,IN,18.81,83.55,80.53,42,3.71,0
tigil,RU,58.4,155.99,28.15,85,15.79,80
unecha,RU,52.79,32.67,14.65,81,17.81,80
esperance,TT,-29.2,125.79,75.2,88,5.82,20
kaitangata,NZ,-63,173.17,70.76,84,7.63,20
diffa,NE,15.39,13.31,65.86,31,6.62,0
port hawkesbury,CA,42.23,-60.7,33.8,90,17.22,90
rocha,UY,-38.98,-51.21,65.23,92,6.62,0
pangnirtung,CA,63.53,-65.64,14.56,100,6.62,92
hobart,AU,-77,137.23,73.4,53,6.93,20
barinas,VE,8.19,-70.44,82.46,49,7.85,24
dikson,RU,80.04,76.86,-6.78,90,9.86,32
terney,RU,44.8,136.65,32.92,71,10.65,32
abha,SA,21.22,44.88,53.6,71,2.24,20
acapulco,MX,10.76,-102.38,78.8,83,6.93,5
lubumbashi,CD,-11.37,27.51,58.03,89,2.93,56
saint-pierre,FR,40.48,-54.35,32,79,10.29,20
sherlovaya gora,RU,50.11,116.09,7.27,70,6.96,80
eregli,TR,37.43,33.9,37.06,82,2.93,80
bambanglipuro,ID,-11.83,110.1,85.12,78,4.27,8
mehamn,NO,79.31,28.93,23.06,84,10.87,64
pierre,US,45.53,-100.5,32,83,16.11,1
ulaangom,MN,47.37,92.05,2.05,70,4.38,32
praya,ID,-14.62,115.97,86,66,4.7,20
cockburn town,TC,22.81,-73.13,75.26,100,6.62,0
los llanos de aridane,ES,25.83,-23.41,62.6,93,11.41,88
ponta do sol,BR,20.66,-42.5,68.33,90,2.37,44
tezu,IN,29.3,98.72,50.11,100,1.59,92
albanel,CA,49.95,-72.41,32,83,3.36,90
tura,IN,66.94,105.19,65.86,90,4.16,0
hithadhoo,MV,-4,79.51,83.86,100,3.6,80
san cristobal,EC,-8.06,-88.12,51.8,87,8.05,75
port hedland,AU,-20.63,117.95,91.4,59,9.17,40
krizevci,HR,46.1,16.68,24.8,85,3.36,90
chokurdakh,RU,70.31,147.44,-11.41,75,14.67,12
rizhao,CN,34.86,119.7,48.58,90,11.99,64
touros,BR,-3.28,-35.2,79.09,95,6.29,88
tacuarembo,UY,-32.24,-55.76,71.93,76,5.28,92
masaka,UG,-0.41,31.7,65.54,100,7.4,92
aransas pass,US,27.16,-96.31,66.2,88,12.33,1
jaslo,PL,49.53,21.47,3.2,84,6.93,76
ostrovnoy,RU,70.53,41.79,14.83,86,19.6,24
sur,OM,19.83,63.94,71.39,100,12.44,24
san pedro,AR,-18.21,-60.11,75.22,65,9.75,0
upernavik,GL,88.14,-52.22,26.71,96,8.19,92
shache,CN,38.79,78.66,44.44,47,5.84,56
caravelas,BR,-22.12,-31.7,81.43,100,17.81,0
berlevag,NO,84.23,32.34,24.64,100,13.33,68
olinda,EC,-10.69,-26.88,80.6,74,8.05,75
paralimni,GR,34.85,34.18,36.43,100,5.61,0
grand gaube,MU,-12.51,65.74,80.6,83,16.11,40
nikolskoye,RU,52.79,163.52,10.4,78,2.71,75
manta,RO,0.41,-82.44,32.02,97,3.71,92
lebu,ET,-35.45,-93.62,53.89,96,3.6,92
ilo,PE,-18.7,-72.52,61.45,99,2.82,24
xining,CN,35.96,102.23,46.01,17,3.04,32
douentza,ML,15.27,-2.91,72.79,50,4.94,0
meulaboh,ID,-0.44,92.92,77.11,100,6.4,88
liberty,US,39.48,-94.43,39.2,90,6.29,1
gamba,CN,-7.78,3.53,11.59,70,5.39,0
rawson,AR,-48.38,-60.48,68.11,69,10.09,0
kyren,RU,51.63,102.42,-0.07,63,1.92,32
broome,GB,-14.27,121.12,32,100,11.41,92
fortuna,ES,39.46,-130.2,48.2,100,3.36,20
zhezkazgan,KZ,47.61,67.66,-2.21,77,11.18,40
husavik,CA,75.29,-8.49,13.34,87,10.98,24
havelock,US,31.06,-74.44,50,33,20.8,1
laguna,MX,-32.37,-43.45,66.2,55,5.82,20
pisco,PE,-18.91,-86.52,68,94,11.41,0
petatlan,MX,13.39,-102.87,80.6,69,3.36,40
bandrele,YT,-14.07,46.23,77,88,4.7,75
lahat,ID,-4.96,102.97,79.81,96,2.93,44
sfantu gheorghe,RO,44.29,29.42,30.2,92,10.29,90
provideniya,RU,49.48,-173.75,28.46,99,16.02,80
jeremie,HT,18.17,-74.57,71.84,100,7.07,0
charagua,BO,-19.71,-63.48,65.77,92,2.82,48
atikokan,CA,48.29,-91.65,24.73,81,2.37,76
clyde river,CA,71.84,-82.2,10.4,92,12.75,90
fort-shevchenko,KZ,45.13,51.07,22.75,100,9.08,32
severodvinsk,RU,65.6,40.19,12.2,100,4.47,90
raymond,US,49.51,-112.49,42.8,60,26.4,90
soron,IN,27.92,78.8,71.26,54,6.4,0
cap malheureux,MU,-13.37,59.67,80.6,83,16.11,40
college,US,73.01,-147.96,12.2,78,4.38,90
copiapo,CL,-27.18,-70.67,62.6,82,11.41,0
rovaniemi,FI,67.43,24.94,15.8,92,6.93,90
kahului,US,25.44,-153.66,77,69,17.22,75
saint george,GR,31.41,-53.62,46.4,87,9.17,20
verkhnevilyuysk,RU,63.19,120.87,-13.17,61,3.6,20
paamiut,GL,62.34,-48.05,27.43,90,3.27,0
careiro da varzea,BR,-1.98,-59.23,80.6,83,3.36,0
tooele,US,40.98,-112.8,37.4,100,9.17,90
dingle,PH,51.59,-12.1,88.31,56,8.41,12
znamenskoye,RU,56.98,73.27,5.65,75,9.31,76
paita,PE,-8.25,-87.43,73.64,75,5.61,64
praia da vitoria,PT,40.49,-26.35,44.6,87,17.69,20
leningradskiy,RU,89.62,176.93,4.39,88,24.74,36
klaksvik,FO,70.01,-4.75,28.4,86,1.12,68
shetpe,KZ,44.98,52.37,20.99,93,7.85,76
amparafaravola,MG,-17.8,47.76,70.31,81,13.44,56
nouadhibou,MR,22.84,-22.64,64.4,93,2.24,0
henties bay,NA,-21.22,8.5,61.9,100,3.27,56
nishihara,JP,19.35,134.15,53.6,34,4.38,1
cabo san lucas,MX,17.73,-115.63,68,68,6.93,40
khatanga,RU,80.9,108.13,-24.15,36,1.81,44
forst,DE,51.71,14.76,23,79,4.16,90
beckley,US,38,-80.67,35.6,58,13.87,20
ahipara,NZ,-32.8,164.38,74.14,80,14.79,68
narsaq,GL,76.81,-65.66,19.4,79,2.24,20
funtua,NG,11.33,6.96,62.17,32,7.85,0
bethel,US,59.19,-164.55,30.2,86,8.05,90
tuatapere,NZ,-52.29,160.78,65.23,93,3.83,44
les cayes,HT,17.79,-73.81,74.32,100,2.15,32
yarmouth,GB,41.62,-67.31,32,96,14.99,48
lorengau,PG,4.96,146.09,82.46,100,5.39,36
mayo,CA,63.26,-138.5,-0.41,54,2.24,90
jabinyanah,TN,35.2,11.66,57.2,82,2.24,0
yar-sale,RU,70.36,73.13,3.53,64,16.46,36
firminy,FR,45.09,4.12,44.6,70,3.36,0
sabha,LY,28.04,14.3,52.45,57,2.26,0
filadelfia,PY,-21.63,-60.94,76.61,91,2.59,0
hobyo,SO,2.42,50.59,77.51,89,9.42,12
harlingen,US,55.51,4.62,71.6,94,6.93,90
saint-joseph,FR,-30.2,55.95,42.8,87,3.36,80
kendallville,US,41.42,-85.34,35.6,85,5.82,1
kodinsk,RU,61.4,99.17,-5.97,70,2.59,56
miles city,US,46.57,-105.93,24.8,92,11.41,1
isangel,VU,-19.76,173.48,81.38,100,5.39,32
ternate,PH,3.32,130.61,89.6,62,8.05,40
longyearbyen,NO,88.84,22.53,6.8,71,3.36,75
batemans bay,AU,-37.43,150.44,75.67,75,4.83,0
danane,CI,7.56,-8.17,69.23,97,3.27,0
codrington,AU,22.72,-51.56,77.74,92,3.15,88
aguimes,ES,25.63,-15.51,66.2,82,19.46,20
east london,ZA,-38.72,31.06,69.82,100,10.31,92
san patricio,PY,14.67,-107.16,76.79,87,2.15,80
ano mera,GR,37.58,25.47,59,87,10.29,88
castro,CL,-52.84,-98.13,47.59,96,1.7,0
nedryhayliv,UA,50.68,34.14,21.71,88,19.37,92
bohuslav,UA,49.44,30.97,30.67,93,10.54,92
nemuro,JP,40.22,147.89,33.8,43,11.41,20
kibre mengist,ET,6.29,39.34,56.36,100,2.48,92
smidovich,RU,49.42,133.56,20.36,61,3.15,0
salalah,OM,18.14,55.59,73.4,78,2.24,0
general roca,AR,-37.62,-67.25,86,17,8.05,75
morant bay,JM,15.1,-75.07,78.8,78,11.41,20
malinao,PH,8.69,125.16,81.97,83,4.94,32
itarema,BR,2.66,-38.03,75.76,95,7.29,44
ancud,CL,-40.76,-92.54,50.96,83,2.71,12
oshnaviyeh,IR,37.14,44.73,39.2,64,4.7,75
la orilla,MX,17.59,-102.52,73.42,100,3.15,88
deputatskiy,RU,76.13,142.33,-10.24,66,10.42,64
saint anthony,US,52.43,-52.71,28.4,92,3.36,90
diu,IN,20.2,71.1,77.38,28,9.64,0
comodoro rivadavia,AR,-44.79,-67.9,68,40,26.4,0
san quintin,PH,29.68,-118.31,86,74,4.7,20
niquelandia,BR,-13.94,-48.51,75.44,77,3.27,48
nhulunbuy,AU,-11.9,138.64,87.8,66,13.87,40
ponta delgada,PT,31.15,-27.63,44.6,81,6.93,20
vila velha,BR,-25.88,-26.77,80.6,83,2.24,75
tignere,CM,7.69,13.04,62.08,54,5.17,0
quelimane,MZ,-17.67,36.11,73.69,99,5.95,76
troitsko-pechorsk,RU,61.97,56.63,12.22,86,5.84,56
torbat-e jam,IR,35.51,60.09,35.53,91,2.82,0
townsville,AU,-19.07,146.39,86,74,10.29,24
japura,ID,-1.71,-68.69,76.88,93,2.93,92
pavlodar,KZ,52.58,77.49,1.4,84,6.71,75
arraial do cabo,BR,-28.67,-38.13,77.29,97,5.06,20
kogon,UZ,39.25,64.52,41,86,2.24,20
fukue,JP,30.86,128.53,46.4,91,9.17,75
ugoofaaru,MV,5.57,62.55,82.24,100,8.63,76
turan,RU,52,93.85,-0.34,47,5.17,24
mincivan,AZ,39.1,46.82,25.72,83,2.59,0
wajima,JP,40.26,135.93,46.4,49,14.99,20
ilulissat,GL,84.59,-41.38,28.4,79,8.05,76
balkanabat,TM,40.27,53.82,34.18,83,2.71,24
bundaberg,AU,-25.02,152,81.56,95,7.74,8
ankazobe,MG,-17.51,46.71,64.4,88,10.29,75
auki,NG,-5.96,162.9,64.01,25,9.08,0
trenggalek,ID,-9.34,111.26,82.87,79,3.15,24
bilma,NE,19.75,13.13,60.19,23,3.38,0
namatanai,PG,5.12,157.71,86.33,91,5.28,20
naze,NG,24.04,136.77,73.78,92,7.18,0
xuddur,SO,4.3,44.87,71.84,86,2.82,12
ossora,RU,59.89,162.11,24.41,93,21.05,92
goundi,TD,10.09,17.42,68.92,29,6.17,0
tailai,CN,46.48,123.68,14.74,87,17.47,92
trincomalee,LK,9.13,82.4,79.81,83,4.61,48
puerto carreno,CO,5.35,-64.88,70.27,85,5.5,44
ouadda,CF,8.96,22.67,63.25,93,2.93,8
kavaratti,IN,13.47,65.43,83.54,100,7.63,12
port lincoln,AU,-35.18,134.52,68.33,87,9.53,76
ovalle,CL,-30.98,-72.4,60.91,95,2.93,0
plettenberg bay,ZA,-41.68,23.82,65.63,100,5.84,36
high level,CA,58.12,-118.1,10.4,66,10.29,90
kruisfontein,ZA,-47.47,24.95,63.83,93,8.75,20
fairbanks,US,70.97,-145.49,12.2,78,4.38,90
vikulovo,RU,57.02,70.34,4.48,79,6.96,80
ivanteyevka,RU,52.25,49.2,6.8,84,2.24,40
natal,BR,-4.15,-30.84,77,88,3.36,20
baruun-urt,MN,44.59,115.52,10.46,70,13.67,20
necochea,AR,-49.36,-54.19,66.22,92,3.04,0
talnakh,RU,69.7,93.45,-11.82,56,6.51,20
turukhansk,RU,63.44,85.56,-6.91,74,8.3,44
ahuimanu,US,35.07,-152.38,75.2,100,12.77,90
nayoro,JP,44.65,142.28,29.5,80,10.09,88
barcelona,ES,10.47,-65.34,51.8,93,4.7,20
calbuco,CL,-43.16,-71.65,50,81,3.36,0
green river,US,40.52,-109.62,37.4,40,17.22,1
tanda,IN,8.51,-3.57,60.86,68,3.38,56
road town,VG,22.52,-63.77,71.6,83,4.61,1
boyabat,TR,41.45,34.88,53.6,50,11.41,75
bandarbeyla,SO,7.78,54.73,76.88,100,8.86,88
zlobin,HR,53.59,30.28,33.86,100,9.98,92
luderitz,NA,-36.81,-0.16,57.2,93,2.24,0
skjervoy,NO,70.09,21.38,23.83,100,3.94,56
homer,US,59.34,-151.48,30.2,63,4.7,90
mehran,IR,30.96,45.73,39.2,68,4.7,0
talara,PE,-4.61,-85.93,73.64,75,5.61,64
atar,MR,20.93,-13.66,58.34,38,2.59,0
katobu,ID,-5.03,123.86,88.63,75,3.94,12
souillac,FR,-47.01,70.88,46.4,81,11.41,0
torbay,CA,44.43,-40.64,30.2,100,17.22,90
saquarema,BR,-24.41,-42.67,80.6,94,5.82,75
cidreira,BR,-44.21,-33.63,69.64,95,4.38,0
ketchikan,US,56.89,-130.62,33.8,47,9.17,1
goundam,ML,15.85,-3.59,77.47,42,6.62,12
kang,BW,-23.39,22.87,60.59,91,3.38,0
villamontes,BO,-21.07,-62.88,66.31,93,1.36,32
manokwari,ID,-0.79,134.16,81.07,100,2.71,88
santa marta,CO,13.82,-75.41,82.4,58,13.87,75
rio grande city,US,26.54,-98.83,69.8,83,9.17,1
rundu,NA,-16.12,20.19,66.85,98,6.51,80
dolores,AR,-36.74,-57.37,67.93,90,9.75,0
lompoc,US,22.46,-130.34,55.4,71,3.36,90
te anau,NZ,-43.48,158.49,68.83,87,2.93,76
coihaique,CL,-49.77,-81.18,55.4,66,3.36,0
tocopilla,CL,-21.52,-75.54,59.29,100,1.92,44
dawei,MM,14.38,97.38,83.99,56,2.48,0
margate,AU,-44.62,42.48,75.2,53,6.93,20
chumikan,RU,57.6,135.32,8.35,66,5.73,8
porto novo,BR,13.08,-36.06,71.6,88,2.93,75
saint-augustin,FR,57.64,-62.01,53.6,81,9.17,0
malanje,AO,-8.85,17.46,65.32,97,6.29,44
kayerkan,RU,69.31,87.58,-11.86,57,7.85,24
nuevo progreso,US,23.42,-96.15,71.6,82,5.82,1
contamana,PE,-7.22,-75.17,77.78,88,4.27,20
sitka,US,48.9,-142.42,55.64,37,19.71,0
kirksville,US,40.35,-93.55,41,51,12.75,0
meadow lake,CA,55.5,-107.43,14.47,75,11.43,68
liku,ID,-13.17,-175.34,80.98,91,2.37,92
trairi,BR,-0.15,-37.24,81.34,100,10.54,92
kurchum,KZ,49.11,83.78,-3.94,63,1.59,12
flin flon,CA,56.51,-102.3,11.32,76,6.06,44
svetlogorsk,RU,67.19,87.73,-7.61,76,2.24,20
maraa,BR,-1.43,-64.31,77.51,92,2.15,36
hof,DE,60.97,13.02,23,79,3.04,90
bathsheba,BB,20.98,-47.23,77,78,13.87,20
chicama,PE,-14.4,-89.33,66.2,93,9.17,90
iwaki,JP,36.61,142.68,46.4,39,8.05,0
takoradi,GH,-3.91,-0.65,79.58,100,8.63,0
veraval,FR,17.21,67.52,37.4,86,9.17,0
coquimbo,CL,-30.24,-73.04,62.6,88,5.39,90
saint johnsbury,US,44.27,-72.06,35.6,74,7.74,92
murray bridge,AU,-33.93,140.25,69.19,81,13.89,32
santa vitoria do palmar,BR,-33.84,-51.81,67.57,94,7.29,0
terra santa,BR,-1.34,-56.71,79.58,84,3.71,56
elko,US,38.58,-115.36,26.6,86,6.93,90
emba,CY,46.5,59.48,50,87,6.93,0
hihya,EG,30.34,31.79,62.6,67,4.7,0
sinnamary,GF,15.69,-45.56,78.86,99,10.65,100
bonthe,SL,2.98,-17.68,75.44,89,4.05,8
cururupu,BR,-1.52,-43.95,76.48,94,4.94,44
nortelandia,BR,-12.26,-56.82,77.06,82,2.71,24
andros town,BS,23.32,-76.88,78.8,69,6.93,40
lieksa,FI,63.49,30.18,12.22,92,2.59,88
matay,EG,27.32,29.36,48.08,85,2.82,24
honningsvag,NO,77.45,25.82,25,99,11.43,64
seoul,KR,35.54,128.34,53.6,21,8.05,0
aleysk,RU,52.25,82.81,-1.24,68,12.66,36
naryan-mar,RU,68.85,50.13,21.08,83,19.82,80
mount gambier,AU,-39.12,140.03,70.72,61,6.73,36
antofagasta,CL,-23.64,-77.68,64.4,77,10.29,0
tapa,EE,59.33,25.89,19.4,79,5.82,90
viedma,AR,-42.45,-62.77,74.18,44,15.01,0
baykit,RU,60.83,95,-15.6,65,2.82,20
dimitrovgrad,RU,54.37,49.44,-9.41,76,3.6,68
sutton in ashfield,GB,53.1,-1.31,28.4,92,16.11,90
hanko,FI,59.52,23.13,9.29,100,12.77,32
kouroussa,GN,10.88,-9.95,73.6,67,6.06,0
imbituba,BR,-29.26,-45.05,75.2,83,3.36,0
saskylakh,RU,85.92,120.98,-30.81,0,3.15,24
dire,ET,12.29,-10.77,53.6,87,6.93,75
petropavlovsk-kamchatskiy,RU,50.48,160.79,32,91,4.47,90
brae,GB,63.02,-2.17,33.8,100,11.41,88
hervey bay,AU,-22.14,157.78,82.78,86,3.94,56
port blair,IN,9.53,88.06,82.69,100,5.39,0
oranjemund,ZA,-30.01,12.82,62.44,96,4.38,0
broken hill,AU,-28.43,142.83,89.48,29,8.08,32
geraldton,CA,51.18,-88.4,10.4,66,4.5,20
padang,ID,-6.38,89.04,83.68,100,7.29,32
pizarro,CO,2.64,-80.4,79.94,93,2.04,76
saint-georges,CA,3.87,-51.17,32.69,70,8.97,68
ramsar,IR,37.83,51.13,50,87,2.24,90
poum,MK,-18.89,160.93,36.79,92,4.5,44
turayf,SA,32.15,40.12,48.2,76,2.24,0
coahuayana,MX,16.86,-104,67.43,65,2.15,0
beringovskiy,RU,56.38,175.68,19.87,100,4.5,76
tarakan,ID,3.69,118.03,78.86,100,3.6,76
abalak,NE,16.56,5.66,65.95,56,4.38,0
kulhudhuffushi,MV,6.65,64.48,82.42,100,7.18,0
jiangyou,CN,33.04,102.8,56.23,99,3.49,100
ken caryl,US,39.08,-105.81,57.2,44,3.36,1
bandar-e lengeh,IR,26.44,53.61,62.6,93,11.99,0
wufeng,TW,27.65,104.82,75.2,93,5.82,75
cam ranh,VN,11.1,110.97,80.44,82,1.7,12
den helder,NL,54.12,3.17,24.8,67,18.34,40
verin,ES,42.14,-7.12,37.19,100,8.19,92
lata,IN,-5.37,168.73,44.93,76,2.04,44
khilok,RU,51.06,111.32,4.3,55,8.3,48
flinders,AU,-35.93,129.71,82.4,51,8.05,0
gazojak,TM,39.73,61.29,42.46,95,7.74,92
gunnedah,AU,-31.3,149.66,91.4,33,12.75,40
farafangana,MG,-24.11,50.44,77.06,100,7.18,80
abu dhabi,AE,22.01,52.66,68,88,3.36,0
mariinsk,RU,56.43,87.26,5.51,75,11.43,48
kut chap,TH,17.46,102.49,87.8,48,4.7,0
shaikhpura,IN,25.17,85.82,79.81,56,6.73,0
pauini,BR,-7.78,-66.94,75.85,92,2.59,24
barcelos,PT,-2.28,-62.55,53.6,81,11.41,40
charyshskoye,RU,50.5,83.75,-3.94,62,2.93,8
dongying,CN,37.94,118.29,60.46,74,14.12,0
enid,US,36.15,-97.74,51.8,57,9.17,1
canon city,US,38.62,-105.82,19.06,83,2.15,80
rio gallegos,AR,-51.4,-69.6,55.4,47,5.82,75
kresttsy,RU,58.19,32.32,6.59,79,3.15,80
warmbad,DE,-29.06,19.24,17.6,92,4.7,75
arua,UG,3.08,30.66,63.7,94,3.15,68
semenivka,UA,52.16,32.41,17.03,83,17.47,80
sandpoint,US,48.11,-116.81,32,77,1.92,90
mandalgovi,MN,45.06,104.6,13.88,87,3.6,12
minuri,PH,16.49,121.91,81.34,92,1.59,20
pogar,RU,52.17,33.08,13.79,85,16.69,80
aklavik,CA,79.45,-140.84,-4.01,58,8.05,75
santa rosalia,IT,27.32,-113.12,60.8,48,16.11,0
bilibino,RU,65.31,167.41,-3,59,3.15,68
vytegra,RU,60.65,36.34,-3.45,76,7.52,56
san-pedro,CI,2.35,-5.52,75.26,94,5.73,8
pathein,MM,17.29,93.81,81.38,76,6.62,0
hualmay,PE,-13.54,-82.63,66.58,81,3.6,36
faya,SA,21.72,17.44,53.6,71,2.24,20
sobolevo,RU,54.42,153.62,3.76,80,12.77,56
teknaf,BD,19.13,89.96,80.62,69,2.93,0
horn,AT,48.74,15.53,17.6,85,4.7,90
jetalsar,IN,21.67,70.59,72.79,39,4.83,0
rajpur,IN,21.88,75.09,72.43,52,7.96,0
tokur,RU,54.53,133.12,3.13,51,3.15,32
methoni,GR,36.05,21.04,51.8,93,12.66,75
tucuman,PE,-26.73,-64.21,55.28,84,1.36,24
navirai,BR,-22.81,-53.9,75.44,91,2.93,8
kigoma,TZ,-4.98,29.45,72.61,100,2.26,88
marquette,US,46.88,-88.46,21.2,85,3.83,5
stokmarknes,NO,70.05,14.75,28.78,100,14.23,76
howard springs,AU,-13.05,131.34,87.8,66,10.29,75
edendale,ZA,-46.26,168.66,55.06,91,2.15,12
macaparana,BR,-7.5,-35.41,72.79,95,1.81,80
batagay-alyta,RU,69.72,131.12,-7.99,72,3.6,48
vanavara,RU,59.42,101.89,-8.62,63,3.71,44
teguise,ES,30.48,-15.01,62.98,97,12.66,76
xinxiang,CN,35.36,114.07,57.76,64,8.97,0
grafton,AU,48.15,-97.73,76.34,90,3.49,92
haines junction,CA,60.65,-137.16,-6.46,65,1.92,12
chuzhou,CN,32.87,118.61,51.8,93,6.71,90
marsh harbour,BS,30.17,-74.54,72.79,100,16.8,0
vestmanna,FO,64.79,-7.29,28.4,86,1.12,80
puerto madryn,AR,-41.46,-66.27,79,47,15.46,88
fort nelson,CA,60.03,-127.17,1.4,77,3.36,90
