State,State Name,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Footnote
AK,Alaska,2015,September,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
AK,Alaska,2015,October,12 month-ending,Number of Drug Overdose Deaths,120,100,0,
AK,Alaska,2015,November,12 month-ending,Number of Drug Overdose Deaths,115,100,0,
AK,Alaska,2015,December,12 month-ending,Number of Drug Overdose Deaths,121,100,0,
AK,Alaska,2016,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,
AK,Alaska,2016,February,12 month-ending,Number of Drug Overdose Deaths,128,100,0,
AK,Alaska,2016,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
AK,Alaska,2016,April,12 month-ending,Number of Drug Overdose Deaths,132,100,0,
AK,Alaska,2016,May,12 month-ending,Number of Drug Overdose Deaths,140,100,0,
AK,Alaska,2016,June,12 month-ending,Number of Drug Overdose Deaths,138,100,0,
AK,Alaska,2016,July,12 month-ending,Number of Drug Overdose Deaths,143,100,0,
AK,Alaska,2016,August,12 month-ending,Number of Drug Overdose Deaths,138,100,0.0233863424,
AK,Alaska,2016,September,12 month-ending,Number of Drug Overdose Deaths,131,100,0.0469924812,
AK,Alaska,2016,October,12 month-ending,Number of Drug Overdose Deaths,131,100,0.069913773,
AK,Alaska,2016,November,12 month-ending,Number of Drug Overdose Deaths,133,100,0.0699463744,
AK,Alaska,2016,December,12 month-ending,Number of Drug Overdose Deaths,129,100,0.0688863375,
AK,Alaska,2017,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0.0685871056,*Likely underreported due to incomplete data
AK,Alaska,2017,February,12 month-ending,Number of Drug Overdose Deaths,124,100,0.0690131125,*Likely underreported due to incomplete data
AK,Alaska,2017,March,12 month-ending,Number of Drug Overdose Deaths,126,100,0.0688073394,*Likely underreported due to incomplete data
AK,Alaska,2017,April,12 month-ending,Number of Drug Overdose Deaths,117,100,0.0693481276,*Likely underreported due to incomplete data
AK,Alaska,2017,May,12 month-ending,Number of Drug Overdose Deaths,120,100,0.0701262272,*Likely underreported due to incomplete data
AK,Alaska,2017,June,12 month-ending,Number of Drug Overdose Deaths,122,100,0.0701426233,*Likely underreported due to incomplete data
AK,Alaska,2017,July,12 month-ending,Number of Drug Overdose Deaths,128,100,0.0707881076,*Likely underreported due to incomplete data
AK,Alaska,2017,August,12 month-ending,Number of Drug Overdose Deaths,137,100,0.0472255018,*Likely underreported due to incomplete data
AK,Alaska,2017,September,12 month-ending,Number of Drug Overdose Deaths,148,100,0.0232612235,*Likely underreported due to incomplete data
AL,Alabama,2015,January,12 month-ending,Number of Deaths,49543,100,0.3370809196,
AL,Alabama,2015,February,12 month-ending,Number of Deaths,50004,100,0.3239740821,
AL,Alabama,2015,March,12 month-ending,Number of Deaths,50486,100,0.3089965535,
AL,Alabama,2015,April,12 month-ending,Number of Deaths,50565,100,0.3164244042,
AL,Alabama,2015,May,12 month-ending,Number of Deaths,50516,100,0.3187109035,
AL,Alabama,2015,June,12 month-ending,Number of Deaths,50658,100,0.3415057839,
AL,Alabama,2015,July,12 month-ending,Number of Deaths,50841,100,0.3304419661,
AL,Alabama,2015,August,12 month-ending,Number of Deaths,50930,100,0.3318279992,
AL,Alabama,2015,September,12 month-ending,Number of Deaths,51044,100,0.323250529,
AL,Alabama,2015,October,12 month-ending,Number of Deaths,51091,100,0.3092521188,
AL,Alabama,2015,November,12 month-ending,Number of Deaths,51093,100,0.2935822911,
AL,Alabama,2015,December,12 month-ending,Number of Deaths,50870,100,0.3105956359,
AL,Alabama,2016,January,12 month-ending,Number of Deaths,50534,100,0.3027664543,
AL,Alabama,2016,February,12 month-ending,Number of Deaths,50555,100,0.2828602512,
AL,Alabama,2016,March,12 month-ending,Number of Deaths,50348,100,0.2820370223,
AL,Alabama,2016,April,12 month-ending,Number of Deaths,50391,100,0.2798118712,
AL,Alabama,2016,May,12 month-ending,Number of Deaths,50511,100,0.28310665,
AL,Alabama,2016,June,12 month-ending,Number of Deaths,50613,100,0.2647541146,
AL,Alabama,2016,July,12 month-ending,Number of Deaths,50683,100,0.2781997909,
AL,Alabama,2016,August,12 month-ending,Number of Deaths,50756,100,0.2640081961,
AL,Alabama,2016,September,12 month-ending,Number of Deaths,50810,100,0.2656957292,
AL,Alabama,2016,October,12 month-ending,Number of Deaths,50869,100,0.287011736,
AL,Alabama,2016,November,12 month-ending,Number of Deaths,51110,100,0.2758755625,
AL,Alabama,2016,December,12 month-ending,Number of Deaths,51431,100,0.2702650153,
AL,Alabama,2017,January,12 month-ending,Number of Deaths,51654,100,0.2632903551,*Likely underreported due to incomplete data
AL,Alabama,2017,February,12 month-ending,Number of Deaths,51543,100,0.2657974895,*Likely underreported due to incomplete data
AL,Alabama,2017,March,12 month-ending,Number of Deaths,51668,100,0.2651544476,*Likely underreported due to incomplete data
AL,Alabama,2017,April,12 month-ending,Number of Deaths,51795,100,0.2509894777,*Likely underreported due to incomplete data
AL,Alabama,2017,May,12 month-ending,Number of Deaths,51944,100,0.2387186201,*Likely underreported due to incomplete data
AL,Alabama,2017,June,12 month-ending,Number of Deaths,52005,100,0.2403615037,*Likely underreported due to incomplete data
AL,Alabama,2017,July,12 month-ending,Number of Deaths,52042,100,0.2363475654,*Likely underreported due to incomplete data
AL,Alabama,2017,August,12 month-ending,Number of Deaths,52073,100,0.2458087685,*Likely underreported due to incomplete data
AL,Alabama,2017,September,12 month-ending,Number of Deaths,52223,100,0.2470175976,*Likely underreported due to incomplete data
AL,Alabama,2015,January,12 month-ending,Number of Drug Overdose Deaths,715,100,0.3370809196,
AL,Alabama,2015,February,12 month-ending,Number of Drug Overdose Deaths,723,100,0.3239740821,
AL,Alabama,2015,March,12 month-ending,Number of Drug Overdose Deaths,733,100,0.3089965535,
AL,Alabama,2015,April,12 month-ending,Number of Drug Overdose Deaths,738,100,0.3164244042,
AL,Alabama,2015,May,12 month-ending,Number of Drug Overdose Deaths,755,100,0.3187109035,
AL,Alabama,2015,June,12 month-ending,Number of Drug Overdose Deaths,756,100,0.3415057839,
AL,Alabama,2015,July,12 month-ending,Number of Drug Overdose Deaths,743,100,0.3304419661,
AL,Alabama,2015,August,12 month-ending,Number of Drug Overdose Deaths,736,100,0.3318279992,
AL,Alabama,2015,September,12 month-ending,Number of Drug Overdose Deaths,744,100,0.323250529,
AL,Alabama,2015,October,12 month-ending,Number of Drug Overdose Deaths,730,100,0.3092521188,
AL,Alabama,2015,November,12 month-ending,Number of Drug Overdose Deaths,725,100,0.2935822911,
AL,Alabama,2015,December,12 month-ending,Number of Drug Overdose Deaths,720,100,0.3105956359,
AL,Alabama,2016,January,12 month-ending,Number of Drug Overdose Deaths,706,100,0.3027664543,
AL,Alabama,2016,February,12 month-ending,Number of Drug Overdose Deaths,710,100,0.2828602512,
AL,Alabama,2016,March,12 month-ending,Number of Drug Overdose Deaths,681,100,0.2820370223,
AL,Alabama,2016,April,12 month-ending,Number of Drug Overdose Deaths,676,100,0.2798118712,
AL,Alabama,2016,May,12 month-ending,Number of Drug Overdose Deaths,654,100,0.28310665,
AL,Alabama,2016,June,12 month-ending,Number of Drug Overdose Deaths,674,100,0.2647541146,
AL,Alabama,2016,July,12 month-ending,Number of Drug Overdose Deaths,681,100,0.2781997909,
AL,Alabama,2016,August,12 month-ending,Number of Drug Overdose Deaths,685,100,0.2640081961,
AL,Alabama,2016,September,12 month-ending,Number of Drug Overdose Deaths,695,100,0.2656957292,
AL,Alabama,2016,October,12 month-ending,Number of Drug Overdose Deaths,704,100,0.287011736,
AL,Alabama,2016,November,12 month-ending,Number of Drug Overdose Deaths,718,100,0.2758755625,
AL,Alabama,2016,December,12 month-ending,Number of Drug Overdose Deaths,740,100,0.2702650153,
AL,Alabama,2017,January,12 month-ending,Number of Drug Overdose Deaths,761,100,0.2632903551,*Likely underreported due to incomplete data
AL,Alabama,2017,February,12 month-ending,Number of Drug Overdose Deaths,757,100,0.2657974895,*Likely underreported due to incomplete data
AL,Alabama,2017,March,12 month-ending,Number of Drug Overdose Deaths,791,100,0.2651544476,*Likely underreported due to incomplete data
AL,Alabama,2017,April,12 month-ending,Number of Drug Overdose Deaths,791,100,0.2509894777,*Likely underreported due to incomplete data
AL,Alabama,2017,May,12 month-ending,Number of Drug Overdose Deaths,808,100,0.2387186201,*Likely underreported due to incomplete data
AL,Alabama,2017,June,12 month-ending,Number of Drug Overdose Deaths,799,100,0.2403615037,*Likely underreported due to incomplete data
AL,Alabama,2017,July,12 month-ending,Number of Drug Overdose Deaths,803,100,0.2363475654,*Likely underreported due to incomplete data
AL,Alabama,2017,August,12 month-ending,Number of Drug Overdose Deaths,800,100,0.2458087685,*Likely underreported due to incomplete data
AL,Alabama,2017,September,12 month-ending,Number of Drug Overdose Deaths,788,100,0.2470175976,*Likely underreported due to incomplete data
AR,Arkansas,2015,January,12 month-ending,Number of Deaths,30122,100,0.0497974902,
AR,Arkansas,2015,February,12 month-ending,Number of Deaths,30332,100,0.046155875,
AR,Arkansas,2015,March,12 month-ending,Number of Deaths,30387,100,0.0460723336,
AR,Arkansas,2015,April,12 month-ending,Number of Deaths,30444,100,0.0394166338,
AR,Arkansas,2015,May,12 month-ending,Number of Deaths,30602,100,0.0424808836,
AR,Arkansas,2015,June,12 month-ending,Number of Deaths,30722,100,0.0423149535,
AR,Arkansas,2015,July,12 month-ending,Number of Deaths,30685,100,0.0488838195,
AR,Arkansas,2015,August,12 month-ending,Number of Deaths,30884,100,0.0485688382,
AR,Arkansas,2015,September,12 month-ending,Number of Deaths,30931,100,0.0614270473,
AR,Arkansas,2015,October,12 month-ending,Number of Deaths,31015,100,0.058036434,
AR,Arkansas,2015,November,12 month-ending,Number of Deaths,31007,100,0.061276486,
AR,Arkansas,2015,December,12 month-ending,Number of Deaths,30986,100,0.0709998064,
AR,Arkansas,2016,January,12 month-ending,Number of Deaths,30624,100,0.0718390805,
AR,Arkansas,2016,February,12 month-ending,Number of Deaths,30413,100,0.0723374873,
AR,Arkansas,2016,March,12 month-ending,Number of Deaths,30421,100,0.0756056671,
AR,Arkansas,2016,April,12 month-ending,Number of Deaths,30489,100,0.0787169143,
AR,Arkansas,2016,May,12 month-ending,Number of Deaths,30361,100,0.0790487797,
AR,Arkansas,2016,June,12 month-ending,Number of Deaths,30434,100,0.0788591707,
AR,Arkansas,2016,July,12 month-ending,Number of Deaths,30590,100,0.0751879699,
AR,Arkansas,2016,August,12 month-ending,Number of Deaths,30488,100,0.0787194962,
AR,Arkansas,2016,September,12 month-ending,Number of Deaths,30540,100,0.068762279,
AR,Arkansas,2016,October,12 month-ending,Number of Deaths,30489,100,0.0754370429,
AR,Arkansas,2016,November,12 month-ending,Number of Deaths,30697,100,0.0749258885,
AR,Arkansas,2016,December,12 month-ending,Number of Deaths,31028,100,0.0709036999,
AR,Arkansas,2017,January,12 month-ending,Number of Deaths,31115,100,0.0739193315,*Likely underreported due to incomplete data
AR,Arkansas,2017,February,12 month-ending,Number of Deaths,31158,100,0.083445664,*Likely underreported due to incomplete data
AR,Arkansas,2017,March,12 month-ending,Number of Deaths,31308,100,0.0766577233,*Likely underreported due to incomplete data
AR,Arkansas,2017,April,12 month-ending,Number of Deaths,31379,100,0.0764842729,*Likely underreported due to incomplete data
AR,Arkansas,2017,May,12 month-ending,Number of Deaths,31493,100,0.0825580288,*Likely underreported due to incomplete data
AR,Arkansas,2017,June,12 month-ending,Number of Deaths,31550,100,0.0792393027,*Likely underreported due to incomplete data
AR,Arkansas,2017,July,12 month-ending,Number of Deaths,31540,100,0.0824350032,*Likely underreported due to incomplete data
AR,Arkansas,2017,August,12 month-ending,Number of Deaths,31584,100,0.079154002,*Likely underreported due to incomplete data
AR,Arkansas,2017,September,12 month-ending,Number of Deaths,31704,100,0.0820085794,*Likely underreported due to incomplete data
AR,Arkansas,2015,January,12 month-ending,Number of Drug Overdose Deaths,366,100,0.0497974902,
AR,Arkansas,2015,February,12 month-ending,Number of Drug Overdose Deaths,366,100,0.046155875,
AR,Arkansas,2015,March,12 month-ending,Number of Drug Overdose Deaths,385,100,0.0460723336,
AR,Arkansas,2015,April,12 month-ending,Number of Drug Overdose Deaths,373,100,0.0394166338,
AR,Arkansas,2015,May,12 month-ending,Number of Drug Overdose Deaths,383,100,0.0424808836,
AR,Arkansas,2015,June,12 month-ending,Number of Drug Overdose Deaths,391,100,0.0423149535,
AR,Arkansas,2015,July,12 month-ending,Number of Drug Overdose Deaths,395,100,0.0488838195,
AR,Arkansas,2015,August,12 month-ending,Number of Drug Overdose Deaths,398,100,0.0485688382,
AR,Arkansas,2015,September,12 month-ending,Number of Drug Overdose Deaths,392,100,0.0614270473,
AR,Arkansas,2015,October,12 month-ending,Number of Drug Overdose Deaths,397,100,0.058036434,
AR,Arkansas,2015,November,12 month-ending,Number of Drug Overdose Deaths,389,100,0.061276486,
AR,Arkansas,2015,December,12 month-ending,Number of Drug Overdose Deaths,381,100,0.0709998064,
AR,Arkansas,2016,January,12 month-ending,Number of Drug Overdose Deaths,378,100,0.0718390805,
AR,Arkansas,2016,February,12 month-ending,Number of Drug Overdose Deaths,379,100,0.0723374873,
AR,Arkansas,2016,March,12 month-ending,Number of Drug Overdose Deaths,363,100,0.0756056671,
AR,Arkansas,2016,April,12 month-ending,Number of Drug Overdose Deaths,372,100,0.0787169143,
AR,Arkansas,2016,May,12 month-ending,Number of Drug Overdose Deaths,376,100,0.0790487797,
AR,Arkansas,2016,June,12 month-ending,Number of Drug Overdose Deaths,369,100,0.0788591707,
AR,Arkansas,2016,July,12 month-ending,Number of Drug Overdose Deaths,378,100,0.0751879699,
AR,Arkansas,2016,August,12 month-ending,Number of Drug Overdose Deaths,383,100,0.0787194962,
AR,Arkansas,2016,September,12 month-ending,Number of Drug Overdose Deaths,379,100,0.068762279,
AR,Arkansas,2016,October,12 month-ending,Number of Drug Overdose Deaths,372,100,0.0754370429,
AR,Arkansas,2016,November,12 month-ending,Number of Drug Overdose Deaths,378,100,0.0749258885,
AR,Arkansas,2016,December,12 month-ending,Number of Drug Overdose Deaths,386,100,0.0709036999,
AR,Arkansas,2017,January,12 month-ending,Number of Drug Overdose Deaths,384,100,0.0739193315,*Likely underreported due to incomplete data
AR,Arkansas,2017,February,12 month-ending,Number of Drug Overdose Deaths,380,100,0.083445664,*Likely underreported due to incomplete data
AR,Arkansas,2017,March,12 month-ending,Number of Drug Overdose Deaths,384,100,0.0766577233,*Likely underreported due to incomplete data
AR,Arkansas,2017,April,12 month-ending,Number of Drug Overdose Deaths,386,100,0.0764842729,*Likely underreported due to incomplete data
AR,Arkansas,2017,May,12 month-ending,Number of Drug Overdose Deaths,382,100,0.0825580288,*Likely underreported due to incomplete data
AR,Arkansas,2017,June,12 month-ending,Number of Drug Overdose Deaths,397,100,0.0792393027,*Likely underreported due to incomplete data
AR,Arkansas,2017,July,12 month-ending,Number of Drug Overdose Deaths,393,100,0.0824350032,*Likely underreported due to incomplete data
AR,Arkansas,2017,August,12 month-ending,Number of Drug Overdose Deaths,404,100,0.079154002,*Likely underreported due to incomplete data
AR,Arkansas,2017,September,12 month-ending,Number of Drug Overdose Deaths,411,100,0.0820085794,*Likely underreported due to incomplete data
AZ,Arizona,2015,January,12 month-ending,Number of Deaths,52342,100,0.3266974896,
AZ,Arizona,2015,February,12 month-ending,Number of Deaths,52371,100,0.3494300281,
AZ,Arizona,2015,March,12 month-ending,Number of Deaths,52826,100,0.3426343089,
AZ,Arizona,2015,April,12 month-ending,Number of Deaths,53025,100,0.3413484206,
AZ,Arizona,2015,May,12 month-ending,Number of Deaths,53225,100,0.3363081259,
AZ,Arizona,2015,June,12 month-ending,Number of Deaths,53462,100,0.3348172534,
AZ,Arizona,2015,July,12 month-ending,Number of Deaths,53685,100,0.3241128807,
AZ,Arizona,2015,August,12 month-ending,Number of Deaths,53907,100,0.2930973714,
AZ,Arizona,2015,September,12 month-ending,Number of Deaths,54058,100,0.2700802841,
AZ,Arizona,2015,October,12 month-ending,Number of Deaths,54122,100,0.2494364584,
AZ,Arizona,2015,November,12 month-ending,Number of Deaths,54421,100,0.2241781665,
AZ,Arizona,2015,December,12 month-ending,Number of Deaths,54853,100,0.1968898693,
AZ,Arizona,2016,January,12 month-ending,Number of Deaths,54917,100,0.1602418195,
AZ,Arizona,2016,February,12 month-ending,Number of Deaths,55755,100,0.139897767,
AZ,Arizona,2016,March,12 month-ending,Number of Deaths,56319,100,0.1544771747,
AZ,Arizona,2016,April,12 month-ending,Number of Deaths,56436,100,0.1736480261,
AZ,Arizona,2016,May,12 month-ending,Number of Deaths,56522,100,0.2016913768,
AZ,Arizona,2016,June,12 month-ending,Number of Deaths,56648,100,0.2612625335,
AZ,Arizona,2016,July,12 month-ending,Number of Deaths,56865,100,0.3323661303,
AZ,Arizona,2016,August,12 month-ending,Number of Deaths,56960,100,0.3721910112,
AZ,Arizona,2016,September,12 month-ending,Number of Deaths,57051,100,0.3943839722,
AZ,Arizona,2016,October,12 month-ending,Number of Deaths,57277,100,0.464409798,
AZ,Arizona,2016,November,12 month-ending,Number of Deaths,57252,100,0.5205058339,
AZ,Arizona,2016,December,12 month-ending,Number of Deaths,57215,100,0.6187188674,
AZ,Arizona,2017,January,12 month-ending,Number of Deaths,57225,100,0.627348187,*Likely underreported due to incomplete data
AZ,Arizona,2017,February,12 month-ending,Number of Deaths,56613,100,0.6411954851,*Likely underreported due to incomplete data
AZ,Arizona,2017,March,12 month-ending,Number of Deaths,56271,100,0.6557551847,*Likely underreported due to incomplete data
AZ,Arizona,2017,April,12 month-ending,Number of Deaths,56454,100,0.678428455,*Likely underreported due to incomplete data
AZ,Arizona,2017,May,12 month-ending,Number of Deaths,56720,100,0.6805359661,*Likely underreported due to incomplete data
AZ,Arizona,2017,June,12 month-ending,Number of Deaths,57012,100,0.6805584789,*Likely underreported due to incomplete data
AZ,Arizona,2017,July,12 month-ending,Number of Deaths,57214,100,0.685146992,*Likely underreported due to incomplete data
AZ,Arizona,2017,August,12 month-ending,Number of Deaths,57310,100,0.6857441982,*Likely underreported due to incomplete data
AZ,Arizona,2017,September,12 month-ending,Number of Deaths,57534,100,0.6900267668,*Likely underreported due to incomplete data
AZ,Arizona,2015,January,12 month-ending,Number of Drug Overdose Deaths,1193,100,0.3266974896,
AZ,Arizona,2015,February,12 month-ending,Number of Drug Overdose Deaths,1175,100,0.3494300281,
AZ,Arizona,2015,March,12 month-ending,Number of Drug Overdose Deaths,1174,100,0.3426343089,
AZ,Arizona,2015,April,12 month-ending,Number of Drug Overdose Deaths,1173,100,0.3413484206,
AZ,Arizona,2015,May,12 month-ending,Number of Drug Overdose Deaths,1184,100,0.3363081259,
AZ,Arizona,2015,June,12 month-ending,Number of Drug Overdose Deaths,1209,100,0.3348172534,
AZ,Arizona,2015,July,12 month-ending,Number of Drug Overdose Deaths,1201,100,0.3241128807,
AZ,Arizona,2015,August,12 month-ending,Number of Drug Overdose Deaths,1240,100,0.2930973714,
AZ,Arizona,2015,September,12 month-ending,Number of Drug Overdose Deaths,1241,100,0.2700802841,
AZ,Arizona,2015,October,12 month-ending,Number of Drug Overdose Deaths,1264,100,0.2494364584,
AZ,Arizona,2015,November,12 month-ending,Number of Drug Overdose Deaths,1269,100,0.2241781665,
AZ,Arizona,2015,December,12 month-ending,Number of Drug Overdose Deaths,1267,100,0.1968898693,
AZ,Arizona,2016,January,12 month-ending,Number of Drug Overdose Deaths,1298,100,0.1602418195,
AZ,Arizona,2016,February,12 month-ending,Number of Drug Overdose Deaths,1307,100,0.139897767,
AZ,Arizona,2016,March,12 month-ending,Number of Drug Overdose Deaths,1313,100,0.1544771747,
AZ,Arizona,2016,April,12 month-ending,Number of Drug Overdose Deaths,1335,100,0.1736480261,
AZ,Arizona,2016,May,12 month-ending,Number of Drug Overdose Deaths,1350,100,0.2016913768,
AZ,Arizona,2016,June,12 month-ending,Number of Drug Overdose Deaths,1370,100,0.2612625335,
AZ,Arizona,2016,July,12 month-ending,Number of Drug Overdose Deaths,1421,100,0.3323661303,
AZ,Arizona,2016,August,12 month-ending,Number of Drug Overdose Deaths,1410,100,0.3721910112,
AZ,Arizona,2016,September,12 month-ending,Number of Drug Overdose Deaths,1404,100,0.3943839722,
AZ,Arizona,2016,October,12 month-ending,Number of Drug Overdose Deaths,1405,100,0.464409798,
AZ,Arizona,2016,November,12 month-ending,Number of Drug Overdose Deaths,1397,100,0.5205058339,
AZ,Arizona,2016,December,12 month-ending,Number of Drug Overdose Deaths,1393,100,0.6187188674,
AZ,Arizona,2017,January,12 month-ending,Number of Drug Overdose Deaths,1417,100,0.627348187,*Likely underreported due to incomplete data
AZ,Arizona,2017,February,12 month-ending,Number of Drug Overdose Deaths,1411,100,0.6411954851,*Likely underreported due to incomplete data
AZ,Arizona,2017,March,12 month-ending,Number of Drug Overdose Deaths,1429,100,0.6557551847,*Likely underreported due to incomplete data
AZ,Arizona,2017,April,12 month-ending,Number of Drug Overdose Deaths,1415,100,0.678428455,*Likely underreported due to incomplete data
AZ,Arizona,2017,May,12 month-ending,Number of Drug Overdose Deaths,1431,100,0.6805359661,*Likely underreported due to incomplete data
AZ,Arizona,2017,June,12 month-ending,Number of Drug Overdose Deaths,1447,100,0.6805584789,*Likely underreported due to incomplete data
AZ,Arizona,2017,July,12 month-ending,Number of Drug Overdose Deaths,1437,100,0.685146992,*Likely underreported due to incomplete data
AZ,Arizona,2017,August,12 month-ending,Number of Drug Overdose Deaths,1454,100,0.6857441982,*Likely underreported due to incomplete data
AZ,Arizona,2017,September,12 month-ending,Number of Drug Overdose Deaths,1472,100,0.6900267668,*Likely underreported due to incomplete data
CA,California,2015,January,12 month-ending,Number of Deaths,248191,100,0.2381230585,
CA,California,2015,February,12 month-ending,Number of Deaths,249920,100,0.2308738796,
CA,California,2015,March,12 month-ending,Number of Deaths,251540,100,0.2246163632,
CA,California,2015,April,12 month-ending,Number of Deaths,252831,100,0.2226783899,
CA,California,2015,May,12 month-ending,Number of Deaths,253858,100,0.217444398,
CA,California,2015,June,12 month-ending,Number of Deaths,254838,100,0.2197474474,
CA,California,2015,July,12 month-ending,Number of Deaths,255417,100,0.2243390221,
CA,California,2015,August,12 month-ending,Number of Deaths,256464,100,0.2339509639,
CA,California,2015,September,12 month-ending,Number of Deaths,257163,100,0.2558688458,
CA,California,2015,October,12 month-ending,Number of Deaths,257750,100,0.2789524733,
CA,California,2015,November,12 month-ending,Number of Deaths,258808,100,0.308336682,
CA,California,2015,December,12 month-ending,Number of Deaths,260172,100,0.3559183924,
CA,California,2016,January,12 month-ending,Number of Deaths,259303,100,0.3598107234,
CA,California,2016,February,12 month-ending,Number of Deaths,260508,100,0.3639043715,
CA,California,2016,March,12 month-ending,Number of Deaths,261416,100,0.3714386266,
CA,California,2016,April,12 month-ending,Number of Deaths,261595,100,0.3776830597,
CA,California,2016,May,12 month-ending,Number of Deaths,261557,100,0.391883987,
CA,California,2016,June,12 month-ending,Number of Deaths,261467,100,0.3969908248,
CA,California,2016,July,12 month-ending,Number of Deaths,261603,100,0.410163492,
CA,California,2016,August,12 month-ending,Number of Deaths,261781,100,0.4201985629,
CA,California,2016,September,12 month-ending,Number of Deaths,262041,100,0.4197816372,
CA,California,2016,October,12 month-ending,Number of Deaths,262751,100,0.4171249586,
CA,California,2016,November,12 month-ending,Number of Deaths,262360,100,0.3929714896,
CA,California,2016,December,12 month-ending,Number of Deaths,263199,100,0.3639831458,
CA,California,2017,January,12 month-ending,Number of Deaths,265344,100,0.3779998794,*Likely underreported due to incomplete data
CA,California,2017,February,12 month-ending,Number of Deaths,264895,100,0.3884558032,*Likely underreported due to incomplete data
CA,California,2017,March,12 month-ending,Number of Deaths,264776,100,0.4026044657,*Likely underreported due to incomplete data
CA,California,2017,April,12 month-ending,Number of Deaths,265301,100,0.4131156686,*Likely underreported due to incomplete data
CA,California,2017,May,12 month-ending,Number of Deaths,265970,100,0.4323795917,*Likely underreported due to incomplete data
CA,California,2017,June,12 month-ending,Number of Deaths,266922,100,0.4645551884,*Likely underreported due to incomplete data
CA,California,2017,July,12 month-ending,Number of Deaths,267391,100,0.4854314468,*Likely underreported due to incomplete data
CA,California,2017,August,12 month-ending,Number of Deaths,267361,100,0.5124157974,*Likely underreported due to incomplete data
